Goal No.,Goal No.,title,Abstract
9,13, Exploring Possibilities of Education by collaborative creative activities in Hult Prize at Nagaoka University of Technology,"As a consequence of Earth Day, the UN Sustainable Development Goals, and other related initiatives, environmental consciousness globally is arguably greater than it has ever been. However, the natural environment itself continues to be degraded at a massive scale by human economic activity. Our challenge is to replace every industry on the planet with future better versions. We will start by becoming a member of the world's largest social entrepreneurial platform called the Hult Prize to building bold businesses that will improve our planet with every sale. 
Currently we are working to hold “Hult Prize” at Nagaoka University of Technology. Hult Prize is the world’s largest social entrepreneur platform for solving global social problems using business. Every year, over 1 million students participate it and create ides to solve the social problems. The best idea is given million dollars (about 100 million yen) to accelerate commercialization. So, Hult Prize called “The student of Nobel Peace Prize.”  Base on the theme related to SDGs, a team of 3 to 4 people will present business ideas in English for 10 minutes, and the judges will select the best team. The greatest feature of Hult Prize is the curriculum support students throughout the year. Hult Prize has 4 contests to select the best team. First contests, “On Campus Program” is held at each university. The winner team is next contests “Regionals”. And next is “Accelerator”, the final is “Global Final”. The contests we are able to hold is “On Campus Program”.
Hult Prize has a deep connection to SDGs. There is a report called “The Limit of Growth’s” which is the beginning why SDGs make. This report showed that if we keep increasing the population and growing economy as it is, we are going to decline until 2030[1]. SDGs made to avoid this scenario. So, we must change the world to grow human permanently with SDGs. But it is impossible to keep doing the actions to achieve SDGs without money. It is necessary to connect business with SDGs. People who solve these social problems with business. Hult Prize whose theme related to SDGs is the best platform to produce entrepreneurs.
On September, we held a briefing to tell about Hult Prize and started to look for participants. Fig. 3 is the condition at the briefing. We are going to hold “On Campus Programs” on December. And now, we are working on solving social problems using technology at this university."
9,11,Technology development for aerosol fire-extinguishing system ,"
We have developed aerosol fire-extinguishing system ""K/SMOKE"". K/SMOKE emits fire extinguishing agents as smoke/aerosol, and suppresses combustion by chemical reaction. The mechanism to suppress fire using aerosols is as follows1), 2): first, free radicals are formed, and fires propagate by a chain reaction of free radicals such as hydrogen, oxygen, and hydroxyl radicals. After heat decomposition, an aerosol generator forms potassium radicals and ions as “K” and these attack the free radicals in fire, leading to complete fire suppression and stabilization.
We have succeeded in the first domestic production of an aerosol fire extinguishing system. Currently, there are 2 lineup, electrically operated system and non-electrically operated device. In addition, in consideration of the fire extinguishing systems for fuel cell vehicles and hydrogen stations, we have been working to develop technology for fire extinguishing of Hydrogen flame with the aerosol fire extinguishing systems."
9,4,A triple helix model to promote the academy-industry-government collaboration by means of GIGAKU philosophy ,"The tripe helix model [1] is a key factor for the development, the application and the transfer of knowledge, contributing to respond the technological necessities of the countries and promoting the development of the economies. This research work presents a qualitative study of an international perspective by analyzing the triple helix generated by the academy-industry-government relationship of two nations with different types of economies and social structures as is Mexico and Japan. For this purpose, an experimental survey bases on the Likert scale was used to evaluate key factors as the quantity of collaboration projects and the inclusion of the key actors, i.e. students, professors and employers is presented. The impact of the qualitative results on the triple helix model evolution is discussed and conclusions are addressed by the present authors."
9,7,Development of repair technology for CFRTP delamination by a four-dimensional pinpoint eddy current method ,"Products molded by carbon fiber reinforced thermoplastic (CFRTP) are used in automobile bodies and aircraft bodies. Practical development of three-dimensional (3D) CFRTP peeling repair is expected beyond existing two-dimensional (2D) CFRTP peeling repair. We change the excitation frequency and the excitation time of the coil after matching its shape and size to 3D CFRTP. CFRTP can be melted to obtain its complex shape by applying four-dimensional pinpoint eddy current of length, width, depth, and time to CFRTP. We quantitatively show that this eddy current method can be used to repair peeling of CFRTP and to obtain sufficient strength for practical use, and we elucidate the melting mechanism and clarify the optimum fusing conditions during peeling repair. A 3D CFRTP was manufactured using an electric injection molding machine (Toshiba EC100SXII-2A). First, in accordance with JIS K 7089, a simple ball drop impact tester was manufactured to drop steel balls under various conditions. The surface and inside of the CFRTP were confirmed by eddy current testing and X-ray computed tomography (CT) (Fig.1). When the energy of free fall was 10.2 J, delamination (0.02 mm) inside the CFRTP could be confirmed by X-ray CT inspection. Second, the CFRTP was damaged by induction heating using a square coil, and then melted and fused by a Newton press. The CFRTP surface was observed by changing the induction heating time to 30 s, 60 s, 90 s, 120 s, and 150 s. As a result of heating for 150 s, the maximum temperature was 342°C indicating that the CFRTP was successfully heated above its melting point (Fig.2). This method made it possible to locally heat and melt the 3D CFRTP. However, tensile strength of the test piece decreased after fusion Therefore, further examination of these heating conditions and fusing conditions is necessary."
10,16,"DEVELOPMENT OF DOWNFLOW HANGING SPONGE (DHS) PLANT FOR
 ","he objectives of research was to improve knowledge and think by joint conducting research with overseas research institutions, to make use of guidance for apply skills and knowledge in research. The demonstration of Down-flow hanging sponge (DHS) plant located in Khon
Kaen, Thailand. The system consists of Primary
 
 
 
sedimentation (SED) tank and DHS reactor (1 m x 2 m. x 5 m. height) shown in Fig 1. The DHS system is an aerobic biological treatment system that does not require aeration energy. This system was successfully treated Khon Kaen municipality sewage and met the building effluent standard of Thailand by Pollution Control Department (PCD)*. The BOD in the effluent discharge less than 5 mg/l. The results of DHS system shown in Table 1. Comparison DHS and Khon Kaen municipality wastewater treatment, aerated lagoon (AL), power cost reduction and easy to maintenance, construction cost saving (shipping from Japan) 20% less cost than AL and area saving 95% of AL.
Fig.1 Flow diagram of DHS system
 "
11,9,Effect of the 355-nm laser irradiation to the TiO2 photocatalysts on the OH-radical formation,"It is well known that TiO2 is famous for the solar energy conversion material as well as the environmental cleaning effects. In the present study, we have investigated the effect of laser irradiation to the various TiO2 powders It was found that 355-nm laser irradiation to the TiO2 powders changed the color of TiO2 powders from white to black, due to the generation of oxygen vacancies of TiO2 crystal structures. We have also investigated the effect of the amount of OH radical formation for both of TiO2 powders with and without laser irradiation and it was confirmed that 30-min laser irradiation increases the OH radical formation. On the other hand, no enhancement of OH-radical formation was found on the visible light irradiation to laser-irradiated black TiO2 powders. In the conference we will present these results and will also discuss the mechanism."
11,13,Effect of repair with pulse current sintering and fine particle on fatigue life and crack growth rate ,"In recent years, aging of large structures such as bridges has become a problem. Therefore, a simple pro-longing fatigue life method has been demanded. In this study, the effect of our repair method(1) using fine particles and pulsed current sintering was clarified on fatigue test with the specimens having simulated cracks.
The test material was S45C annealed material. The specimen has a simulated crack. After the simulated crack was filled with fine particles, pulse sintering was performed. A test piece treated with pulse energization is called ""heat treatment specimen"". A test piece energized after filling with particles is referred to as “repair specimen"". A test piece without pulse sintering and repaire is called ""non-treated specimen"". The specimen surface was polished to #1500. After polishing, a fatigue test was performed with a maximum load of 17,000 N, a frequency of 0.7 Hz, and a stress ratio R=0.05.
Number of failures on non-treated specimen, heat treatment specimen and repair specimen are 3898, 3531 and 4679, respectively. This result indicates that heat treatment decreases fatigue life and our repair method increase fatigue life. Figure 1 shows a relationship between crack growth rate and number of cycle. As shown in Fig. 1, on all specimen, a crack initiated from 500 to 1000 cycle. At 2000 cycle, crack growth rate of the heat treatment specimen is 2 times higher than other specimens. At 3000 cycle, crack growth rate of the repair specimen is half of the rate of the non-treated specimen. These results suggested that sintered layer suppressed fatigue crack propagation."
11,12,Chitin Hydrogel Fibers prepared through Wet-spinning Process ,"In order to prepare Chitin fibers, Chitin purified from crab-shell waste was dissolved in N, N-dimethyl acetamine/ 5 wt% lithium chloride (DMAc/ 5 wt% LiCl) at room temperature in 1, 1.5 and 2 wt% of concentrations. Chitin hydrogel fibers were prepared by phase inversion using wet-spinning process (Fig. 1) at different temperature of the water coagulation bath in the range of 5 - 60oC. As the results, Chitin fibers were successfully obtained in the water coagulation bath. The SEM results suggested that denser structure of the chitin hydrogel fiber was observed when the temperature of the coagulation bath increased (Fig. 2). The resultant chitin hydrogel fibers prepared at higher temperature of water bath showed the increment in term of elastic and mechanical properties. At the 2 wt% of the chitin solution in DMAc, at 60oC, the tensile strength of the fiber obtained to be 182 MPa relative to that of 5oC. The elastic modulus was enhanced, while the equilibrium water content in the fiber significantly decreased from 1101 to 335 %. The deconvolution of FT-IR spectra indicated that the intermolecular hydrogen bonding NH...OC increased, whereas the reduction in the intra-interaction was confirmed at higher temperature, maybe contributing to the strength influencing on the temperature change."
11,13,Statistical Mechanics of Environmental Prediction Using Thermal Index ,"Previously, we have studied a system for predicting environments and power consumption of air conditioner
(1)
based on the Bayesian iterative method
systems, we construct a method of environmental prediction using thermal index based on analogy of the Bayesian inference and statistical mechanics due to the mean-field theory (MFT) for the full-connected Q-Ising model in Fig. 1. In this method, we estimate environmental variables as expectations averaged over the posterior at each sampling point. As shown in Fig. 2, the MFT finds that optimum of the temperature-humidity index (THI) is realized, if we have perfect knowledges on the assumed true prior and the assumed transition probability from each original state to the observed one, and that the THI becomes larger (smaller) than the optimum with a decrease (increase) in the parameter of temperature difference. Also, we find that the robustness of our system is improved by introducing the model prior enhancing the optimum of the THI into the system."
11,9,Study on Riverbed Variation Management by Various Groin at a River Confluence Associated with the Barrage Water ,"The Kakogawa River which has a catchment area of 1,730km2 and a length of 96.0km, flows through Hyogo Prefecture in Japan. The influence of runoff due to barrage water and the Mino River tributary, combined with a meander in the river upstream from the large barrage on the Kakogawa River (Kakogawa Barrage), has promoted the development of the sandbars on the river bank opposite the confluence. The sandbars, which has enlarged and become fixed, currently deflects the passage of water back to the left bank and has decreased the usable water surface area of the river. To wash away the sandbar, the groin was installed in 2015(Figure 1). The purpose of this study was to survey the river topography in the vicinity of the Mino River confluence and identify the factors responsible for sandbar development by using model experiments and numerical analysis. In addition, we verify the function of the groin and the effects caused by changing the characteristics of the groin. The model experiments were carried out in an 8m long, 0.8m width, and 0.4m depth rectangular main channel under the movable bed condition, in which a 0.48m width tributary channel joined in a right angle at 4.33m downstream from the upstream of main channel (Figure 2). Movable-bed modeling of the channels at the tributary junction was performed to assess the influence of the barrage water and the river meander upstream on river flow, and to observe the flow and the change of elevation characteristics at the junction and their influence on river topography. The numerical analysis were analyzed using the two-dimensional flow analysis software, Nays2DH (iRIC, 2014) to verify the experimental results and to investigate how they can be applied."
11,15,Indoor Experiment for Development of Permeability Test Equipment for High Water Permeability Ground ,"In laying down the drain layer of a river bank, designing a liquefaction countermeasure work, and calculating the drainage amount of the root-cutting retainer, accurate values of permeability k = 10-3 to 10-4 m/s are necessary become. However, the in-situ permeability test apparatus currently developed can only measure up to about a permeability coefficient of about 10-5 m/s. Therefore, in order to expand the applicable range, the permeability test device for high water permeability has been improved. In this research, we conducted experiments to verify the followability of the water injection volume to maintain constant water level using this equipment, and carried out
water permeation test of highly permeable material which has not been done so far, report it compiled."
11,9,Experimental study on carbon fiber sheet bonding method to steel member with residual deformation ,"In recent years, social infrastructure such as bridges has become dangerous due to aging. Focusing on steel bridges, it has problem that deformation of members due to fire when repairing work was carried out. The conventional method for repairing the deformation member in the steel girder bridge are heat-straightening and replacement of members. However, the new method has been required because these have inefficient work. In this study, we examine the applicability of carbon fiber sheet bonding to the deformation of members due to fire. We carried out the uniaxial compression test to investigation the strength and deformation characteristics for CFRP bonding steel plate. As a result, it was confirmed that the repairing method using carbon fiber sheet recovered the strength. Also, it was confirmed that the decreasing of strength when the increasing the value(δ/l) that is residual deformation(δ) divided by the specimen length(l)."
11,3,A Method for visualizing the Long Term Transition of Population Density Structure in Local Cities ,"The policy for realization of compact city is promoted by local cities in Japan because their current urban forms will not be adapted to the drastic population decrease and aging. Since the technology of Geographic Information System (GIS) spread in fields of statistics, it has become easier for anyone to check the current population density that provides an indication of how the city is not compact. However, there was very limited methods to analyze the population density in the period of time during which GIS was not used for National Census and the suburban sprawl was not proceeding, such as 1970.
Therefore, we developed a method for visualizing the long term transition of population density structure at Densely Inhabited District (DID: District with a population density of about 40 people or more per hectare and a total population exceeding 5,000) based on the documents of census enumeration districts. Then, we apply the method to 3 local cities (Nagaoka, Kanazawa, and Matsumoto) at the three periods of time, 1970, 1990, and 2015, and analyze the relationship between the population density, zoning areas, and current land uses with GIS.
As a result, the density at 1970 DID has declined due to the shift of smaller household and the land use transition. By contrast, 1990 DID outside 1970 DID has increased the rate of developed land because there is a large residential area where the land use is controlled with exclusive zoning policy. 2015 DID outside 1990 DID may be developed similarly on account of including farmlands.
For the realization of compact urban structure in these cities, we propose that the municipalities should check and control the urbanization at 2015 DID outside 1990 DID."
11,9,Research on the Electric Wire Discharge Crush Method and Crack Control for Concrete Structure ,"Currently, as a method for crushing concrete or bedrock, gunpowder has been widely used. However, non- gunpowder blasting method is strongly requested because of the safety and the low environmental influence.
In this research, we conducted a study on the shock crushing method by discharge, especially to realize crack control in a crushed object. A small mortar piece with a wedge-shaped cavity(Fig.1) was used for controlling the cracks. Electrodes that were connected with a thin aluminum wire were inserted in it. A large test piece with a hole, the size of 245 mm(length) x 181 mm(width) x 75 mm(depth), was used as a crushed object and the small mortar piece is embedded in it(Fig.2).
In the experiment, a large current with short period flowed through the electrodes and the thin aluminum wire was vaporized instantaneously then the large mortar piece was fractured along the wedge-shaped cavity of the small piece(Photo.1).
As a result of the experiment, the crack of the large mortar test piece can be controlled by this method."
11,9,Study on the Position of Recently Urbanization Land Use out of City Planning Area in Municipal Urban Master Plan ,"The purpose of this research is clarified how to manage the urbanization land use out of City Planning Area by Municipal Urban Master Plan.
As a result of the analysis by Municipal Urban Master Plan, 82 municipalities accept the urbanization land use out of City Planning Area. Only 14 out of 82 Municipal Urban Master Plan indicated land use regulation and laws other than City Planning Act. In addition, 37 out of 82 municipalities don‘t have the clear fact of the urbanization land use and accept not only commercial or industrial land use but also residence one. Such municipalities have the possible to cause disorderly development.
As a result of the judgement by air photograph for extracting small scale development and village, 11 out of 37 municipalities accept large scale development from 1980 through 2000. These municipalities are target of this research.
We conducted field survey in Yonago and Shimada city out of 11municipalities to research the actual condition of land use management. Yonago city consider to admit the district which accept urbanization land use into City Planning Area. However, residential area which have many vacant houses and new develop area are confirmed. Therefore, it is skeptical whether land use regulation functions. Shimada city also developed residential area and villa in spite of establishing laws other than City Planning Act[photo].
As a result, many municipalities don‘t secure manage urbanization land use out of City Planning Area. On the other hand, land use management is not enough actually even though Municipal Urban Master Plan indicated land use regulation and laws other than City Planning Act."
11,9,Development of High-frequency Inverter for Wireless Power Transfer System ,"Wireless power transfer (WPT) system is one of the energy supplying technology without connecting any cables. In recent years, WPT is expected to apply the charging system for Electronic Vehicle (EV). A charging system for EV is required to reduce the time of charging, so high power conversion circuit is necessary. However, the volume of the high power conversion circuit is large and the weight is heavy. Especially, WPT system using coil with ferrite core to transfer power. Ferrite core is one of the heavy component.
The circuit volume and weight can be reduced by increasing switching frequency. However, the effect of the parasitic parameter cannot be ignored as switching frequency is increasing. Therefore, accurate analysis and measurement of parasitic parameters in a prototype circuit are necessary to reflect them in the main circuit design.
In this study, the analysis and measurement method of the parasitic parameter is discussed. The characteristic of the high- frequency circuit is described by S-parameter. Therefore the way to analyze parasitic parameters using S-parameter is investigated. Finally, we have the waveform at FET in the simulation to confirm the accuracy of the analysis result."
11,9,Beautiful Harmony of Toa Corporation with High Level of Technologies ,"Toa Corporation strives for prosperity with advanced technologies and to fulfill its social responsibilities through sound management. Toa Corporation has been engaged in dredging and reclamation for the construction of harbors and their related facilities, design and execution of coastline buildings, construction of airports, marine leisure facilities, warehouses for distribution, factories, and power plants in Angola, Egypt, Ghana, UAE, Saudi Arabia, Russia, Indonesia, Japan, Malaysia, Thailand, Vietnam, Mexico, Dominica, etc.
With its state-of-the-art technology, Toa has completed many projects of urban development, commercial buildings, hotels, medical, educational, cultural and residential facilities, and has gained a high reputation for each and every design, execution of construction and maintenance.
Employing our own technologies within civil engineering and building construction works while embracing environmentally friendly construction practices, Toa Corporation has gained the reputation of being an integrated construction company through the following activities:
●Contracting, planning, designing, execution and supervision of civil engineering and architectural works; including consulting services
●Dredging, reclamation and land preparation
●Planning, designing, supervision and contract works for regional, urban and ocean development
●Surveying and geological investigation
●Planning, construction, equipment and property leasing, maintenance of roads, railroads, ports and harbors,
airports, water works and sewer systems, government offices, waste disposal and treatment facilities, other
public facilities, etc.
●Constructing power generation facilities and rendering related consulting services"
12,11,Study on Public Building Complex in Housing Estates Developed by Public Organization in Aichi Prefecture ,"Some housing estates developed during Showa period are getting decrepit and need to be repaired(Photo1). According to MLIT(Ministry of Land, Infrastructure, Transport and Tourism), housing estates are fortune because there are a lot of public facilities. The facilities should be preserved to leave the housing estates.
This research focuses on Public Building Complex(PBC). The management of them is easier than facilities which have single function(Fig.1).
In Aichi, there are 26 housing estates developed by public organization during Showa period and 12 PBC in the housing estates. 9 PBC have more than 2 functions, 6 PBC have transmitted functions, and 6 PBC are managed by private companies(Photo2). In addition, 6 PBC aren’t written about management plans in Public Facilities Comprehensive Management Plan(PMCMP). Therefore, their management plans aren’t established and considered."
12,9,Investigation of micro bubbles made by homogenizer for flotation ,"Flotation is a method of separating and recovering only the necessary mineral particles which grinded mineral ores from the mine by bubbles in the solution.
The demand for minerals that can be recovered by the flotation method is increasing year by year, and the price of materials is rising. In the past, ores which could be taken in the dry zone was difficult to recover due to the high cost of transporting. Recently, new ore exploration began in Chile and Australia to develop as mines because of rising of mineral prices.
Flotation is necessary to manage the flow line and flow rate. It would be happened overflow and stop the operation of the facility. If the feed amount is insufficient, the recovery rate of minerals will be decreased and it will not be possible to obtain sufficient revenue. For this reason, development of a beneficiation device that can simplify the flow control of the facility is eagerly desired.
For this reason, we developed a flotation technology that reduces the flow lines and facilitate flow control to improve the recovery rate. In addition, use it in mines where it is difficult to use a large amount of water in dry areas. In order to simplify the management of the flow line, in this study, we come up with device did not use solution to make bubble[1] and inspected micro bubble size[2] made by homogenizer and relation with MIBC."
13,9,Significant texture weakening and enhancing room-temperature stretch formability of Mg-Al alloy sheet via micro-alloying ,"One way to reduce greenhouse gas emission from transportation vehicles such as automobiles, trains, and aircrafts is to improve fuel efficiency. Magnesium (Mg) is the lightest metal material among structural metal materials such as steel and aluminum (Al), so we can expect weight reduction by using Mg alloys as automotive body panels. However, typical wrought Mg alloy sheets such as Mg-Al-Mn (AM-series) and Mg-Al-Zn (AZ-series) alloy sheets exhibit poor room-temperature formability due to the formation of strong basal texture during the rolling processing [1]. This hinders practical application of Mg alloy sheets in automotive industries.
Therefore, weakening of the basal texture is necessary. The texture feature in rolled Mg alloy sheets is strongly influenced by the alloy composition, rolling process, and heat treatment. In this study, we have investigated the effect of Zn and Ca additions on grain structure, texture, and mechanical properties of a commercial Mg-3Al- 0.4Mn (mass%) alloy sheet with the aim of weakening basal texture. By adding Zn and Ca, we have successfully obtained a weakened basal texture, resulting in a good Erichsen value of ~ 7 mm and a moderate 0.2 % proof stress of 150 MPa in a Mg-3Al-0.7Ca-0.7Zn-0.4Mn (mass%) alloy sheet. Also, we have clarified the texture weakening mechanism using an electron backscattered diffraction (EBSD) techniques. The results will shed light on the nature of weak basal texture, and provide process-microstructure relationship of Mg alloy sheets."
13,9,Compositional optimization of dilute Mg-Al-Ca-Mn alloy with high strengths ,"Magnesium (Mg) is the lightest commercial metal material and thus wrought Mg alloys have great potential as lightweight structural materials in automotive industries. However, there are few applications of wrought Mg alloys in the transportation vehicles due to their poor hot-workability and mechanical properties compared to aluminum (Al) alloys and steels.
To overcome these problems, we have developed a dilute Mg-1.3Al-0.3Ca-0.4Mn (wt.%) alloy [1]. The particular alloy can be extruded at a die-exit speed of 24 m/min, which is comparable to Al-Mg-Si based 6xxx Al alloys. Also, the newly developed Mg-Al-Ca-Mn alloy exhibits high 0.2 % proof stress of 287MPa after a T6-treatment (solution treatment + aging). This high strength is attributed to its fine grain of ~20μm and finely dispersed plate- shaped Guinier Preston zones lying on the (0001) planes. However, further compositional optimization will be required for improving age-hardening response and mechanical properties of dilute Mg-Al-Ca-Mn alloys.
This work aims at developing dilute Mg-Al-Ca-Mn alloys which can be substantially strengthened by a aging via compositional optimization of Al, Ca, and Mn.
Fig. 1 (a) shows age-hardening response at 170 °C of Mg-xAl-0.5Ca-0.2Mn(wt.%, x=0.7, 1.3, and1.6) alloys extruded at 400 °C and solution-treated at 500 °C for 1 hr. The age-hardening response after a cold-rolling with a rolling reduction of 6 % is also shown in the Fig. 1 (b) to evaluate the bake-hardenability. The Vickers hardness of the as-solution-treated samples gradually increases with increasing the aging time, and all samples reach their peak hardness after the aging over 4 hr. The hardness increments in all samples are almost the same, ~16 HV. After the cold-rolling, the hardness increases to ~65 HV, and all samples reach their peak hardness by the aging for only 40 min. Also, the hardness of all samples increases ~10 HV even after the short-time aging for 20min, suggesting that the alloy will become promising materials as paint baking Mg alloys."
13,7,Verification of Current Model Using Transconductance ,"1. Introduction
It has been confirmed that current imbalances cause current oscillations when semiconductor switches are
connected in parallel[1]. The current oscillation cannot be ignored from the viewpoint of noise and safe operation. Therefore, previous researches have focused on current imbalance and have proposed a current model considering transconductance. In this report, we verify the validity of the current model at turn-off when a SiC MOSFET is operated in single and parallel is verified.
    2. The current model applied transconductance
Fig. 1 shows half bridge circuit with high side paralleled switches. In the
case of the single operation, Q2 is removed and verified. Transconductance is defined as gfs id Vgs [S]. By regarding reciprocal of transconductance as the resistance, we can simulate the effect of transconductance. In addition, as the value of transconductance depend on the gate voltage, this resistance is treated as a variable resistance.
Fig.1 Half bridge circuit
 Fig. 2 and 3 show the current model verification results for single and parallel operations when the switch is turned off. From these figures, there is a difference of the falling time both in single and parallel, but the turn-off operation can be reproduced. Therefore, it can be said that a current model using transconductance is effective. Fig.2 Model verification under single operation Fig.3 Model verification under parallel operation 3. Conclusion
In this study, it was shown that a valid current model can be constructed by treating the transconductance as a variable resistance. In the future, we will derive a current formula using transconductance to improve the accuracy of the simulation. This research was supported by NUT grant for collaborative research with NIT."
13,9,LIVING ENVIRONMENT IN THE SEA OF JAPAN SIDE AND SDGs ,"Hybrid Passive House contributes to CO2 reduction and health of residents
by living comfortably and conserving use (durability). Current Issues
Currently, Japan's CO2 reduction status is an increasing trend with the amount of CO2 emitted by the household sector (air conditioning, etc.).
Nagaoka City has only one-third sunshine hours on the Pacific side in winter. On the contrary, there is a lot of snow and in summer, the sun is about 1.3 times longer than the Pacific side, and it is hot and humid. This increases the amount of energy required for air conditioning and heating, and thus increases costs.
stroke. Achievement Goals
Reduce the amount of CO2 emitted by the household sector by 50%, create renewable energy with solar power generation, and aim for 100% or more as its result.
Aim at extending the life of a Japanese house to 60 -100 years as it only currently runs at 30 years.
Aim at having indoor environment in winter at around 21degrees and around 27degrees in summer. Technical Efforts
Reduce CO2 and improve health through hybrid energy saving technology and energy creating technology. Ingenuity 1:Improve durability of the house by having a well-ventilated design.
Ingenuity 2: Consider reducing CO2 emitted in the manufacturing process of the components themselves and reducing CO2 at the time of disposal using natural materials as much as possible."
14,12,Solidification of Oil-in-water by using In-liquid Plasma Treatment ,"Marine transportation such as merchant vessel is inevitable for our modern society. Most vessels work consuming fuel oil and lubricating oil, which are strictly managed in vessel to prevent oil leak to sea. In vessel, oil-containing water are separated to waste oil and waste water. However, emulsifying oil which is generated by containing surfactants is required additional treatment. There is the potential risk of marine pollution by leaking oil because the oils are stored in liquid state.
In this study, I focused on solidification of oils by using in-liquid plasma treatment. In-liquid plasma [1] is one of an atmospheric pressure plasma generated in liquid such as water. Plasmas has generally high temperature such as thousands Kelvin and various reactive group such as hydroxyl group and oxygen radical. Therefore, the plasma reacts oil in water and decomposed oil into solidified carbon and hydrogen gas [2].
In my experimental device, the in-liquid plasma is generated in bubbles of argon (Ar) in water or water solution
as shown in figure 1. The experimental device had a high-voltage pulse power source (Wave length: 10 μs, Voltage:
  < 10 kV, Frequency: 10 kHz), facing stick electrodeガs. Aスdisc排harg気e occurred between electrodes in an Ar bubble -1
and then the plasma generated. The Ar gas was injected to a reactor tube with flow rate of 1 L min . In the preliminary experiment, decane of alkane was used as simulation of oils for vessel. Plasma emissions were observed by using a spectrometer (Wavelength: 200–1100 nm, Resolution: 0.6–0.7 nm). After for plasma reaction, the decane-containing water was suspended and residue was obtained by filtering. The in-liquid plasma solidified oil like matter in water.
In the conference, I will explain more detail of the experiment and results about the oil solidification experiments."
14,6,Water Purification with Biological Nitrification and Denitrification ,"When a living body is kept in a water tank, toxic ammonium ions generates from the feces and remainder of the food. If ammonium ions are accumulated, it adversely affects the living body. Therefore, water purification system to remove ammonium ions is necessary. Biological nitrification and denitrification system is a way of biofiltration by multiple kinds of bacteria [1]. This filtration system doesn’t need to change the water. Moreover, this is clean system because nitrogen components in the water tank are finally emitted as nitrogen gas. In this study, filtration performance of biological nitrification and denitrification system was demonstrated.
A seawater tank and a freshwater tank were prepared for the examination. Spot prawns were kept in seawater tank kept at 9 °C. A flounder was raised in a seawater tank until May (approximately 170 days). On the other hand, sturgeons were kept in a freshwater tank kept at 15 °C. The nitrification tanks using DHS (down-flow hanging sponge) reactor were placed to each water tanks. The denitrification tanks apply USB (up-flow sludge blanket) system. The concentration of ammonium nitrogen, nitrite nitrogen, and nitrate nitrogen were quantitated periodically in order to examine the biofiltration by bacteria.
Figure1 shows the transition of concentration of nitrogen components in the seawater tank. The concentration of ammonium nitrogen and nitrite nitrogen have been kept under 1.0 mg/L. Moreover, the concentration of nitrate nitrogen fell below the target value of 7.0 mg/L. Figure2 shows nitrogen concentration in fesh water tank. Nitrogen concentration has been decreasing since the 50th day. Therefore, Bacteria in charge of nitrification and denitrification are functioning in seawater (9°C) and freshwater (15 °C)."
14,9,Development of newly Aquaculture Technology By Fibrous Filter ,"Food security and water reservation are urgent because the world population is growing. Among fish food source for example in fish and shell fish, Seafood is important to take protein on our daily life. In fact, the global consumption of fish and shellfish has increased about five times over the past half century due to the population growing. However, fish stocks for which we can use sustainably tend to reduce. So people need to keep production of seafood by using way to save fish stocks. We are proposing aquaculture technology using water reservation materials in fish land culture. As seen in pictures of aquaculture farm for fish on land, the water making technology uses fibrous filter, K2AQUA, to save fish stocks and to protect sea water for fish feed. In the present work, we introduce development of to be grown up fish by new bio-filter for improvement of water quality. Kasai Co. has developed aquaculture technique by cooperative investigation with NUT Kobayashi Lab last for about ten years. The fibrous filter, K2AQUA, was developed for decontamination water of radioactive cesium in Fukushima [1] and now this is applying for a bio-filter that can be used to aquaculture system, since the product is possible to eliminate ammonium in the fish culture water with high efficiency. In addition, the K2AQUA fibers become good medium matrix in the porous space which can concentrate ammonia to convert biologically the ammonia to nitrate. We noted that the porous structure inside of the fiber is suitable for cultivation of bacteria to keep clean the water for long time periods. In addition, the operation is quietly simple to maintain the water quality by putting them in the aquaculture system because the filter enables .providing good environment of microorganism cultivation in the highly concentrated ammonium medium in the porous structure. We report that the K2AQUA filter can be used for a long period cultivation of fish and provide in the oxidative decomposition of the ammonium in the filter environment."
